gtin;gln;ndFreeOfAlcohol;regulatedProdName;functionalName;labelDescription;TradeItemDescr;ingredient_informatie
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET SMAAK VAN KAAS EN CHILLI.;Hartige snack;;Pringles Spicy Cheese Chili 160g;"Ingrediënten: Rijstbloem, zonnebloemolie, gedehydrateerde aardappelen, maïsmeel, maltodextrine, kruiderij met smaak van kaas en chili (maltodextrine, lactose {MELK}, zout, dextrose, karnemelkpoeder {MELK}, smaakversterkers {mononatriumglutamaat, dinatrium-5'-ribonucleotiden}, aroma's, kaaspoeder {MELK}, suiker, specerijen {chilipoeder, witte peper}, knoflookpoeder, gistextract, voedingszuur {melkzuur}, zuurteregelaar {calciumlactaat}, zonnebloemolie, maiszetmeel, kleurstof {paprika-extract}), emulgator (E471), gemodificeerd zetmeel, TARWEMEEL, zout
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET PAPRIKASMAAK.;Hartige snack;Pringles Hot Paprika 40g;Pringles Hot Paprika 40g;INGREDIËNTEN: Gedehydrateerde aardappelen, plantaardige oliën (zonnebloem, palm, maïs) in wisselende verhoudingen, TARWEMEEL, maïsmeel, rijstbloem, paprikakruiderij (suiker, paprikapoeder, smaakversterkers {mononatriumglutamaat, natriumguanylaat, dinatriuminosinaat}, dextrose, gistpoeder, uienpoeder, zout, gegranuleerde bouillon {zout, gehydrolyseerd plantaardig eiwit, zonnebloemolie}, aroma's, knoflookpoeder, kleurstof {paprika-extract}, voedingszuur {citroenzuur}, zoet weipoeder {MELK}), maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine).
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET PAPRIKASMAAK.;Hartige snack;Pringles Hot Paprika HPR 165g;Pringles Hot Paprika HPR 165g;INGREDIËNTEN: Gedehydrateerde aardappelen, plantaardige oliën (zonnebloem, palm, maïs) in wisselende verhoudingen, TARWEMEEL, maïsmeel, rijstbloem, paprikakruiderij (suiker, paprikapoeder, smaakversterkers {mononatriumglutamaat, natriumguanylaat, dinatriuminosinaat}, dextrose, gistpoeder, uienpoeder, zout, gegranuleerde bouillon {zout, gehydrolyseerd plantaardig eiwit, zonnebloemolie}, aroma's, knoflookpoeder, kleurstof {paprika-extract}, voedingszuur {citroenzuur}, zoet weipoeder {MELK}), maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine).
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET TEXAS BARBECUESAUSSMAAK.;Hartige snack;Pringles Barbecue BBQ 165g;Pringles Barbecue BBQ 165g;INGREDIËNTEN: Gedehydrateerde aardappelen, plantaardige oliën (zonnebloem, palm, maïs) in wisselende verhoudingen, TARWEMEEL, maïsmeel, rijstbloem, barbecuekruiderij (suiker, lactose {MELK}, zout, uienpoeder, smaakversterkers {mononatriumglutamaat, dinatrium-5'-ribonucleotiden}, tomatenpoeder, paprikapoeder, gistextract, aroma's, rookaroma's, johannesbroodpoeder, zuurteregelaar {natriumdiacetaat}, voedingszuren {appelzuur, citroenzuur}, knoflookpoeder, zonnebloemolie, maiszetmeel, kleurstof {paprika-extract}, maltodextrine), maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine).
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET SMAAK VAN PITTIGE CHORIZO.;Hartige snack;Pringles Chorizo 160g;Pringles Chorizo 160g;INGREDIËNTEN: Rijstbloem, plantaardige oliën (zonnebloem, palm, maïs) in wisselende verhoudingen, gedehydrateerde aardappelen, maïsmeel, maltodextrine, kruiderij met smaak van pittige chorizo (lactose {MELK}, zout, dextrose, suiker, gerookte paprikapoeder, specerijen {chilipeper, zwarte peper, venkel, witte peper}, gistextract, karnemelkpoeder {MELK}, aroma's, knoflookpoeder, voedingszuren {citroenzuur, melkzuur}, smaakversterkers {mononatriumglutamaat, dinatrium-5'-ribonucleotiden}, zuurteregelaar {calciumlactaat}, zonnebloemolie), emulgator (E471), gemodificeerd zetmeel, TARWEMEEL, zout.
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET ZOETE CHILISMAAK.;Hartige snack;Pringles Spicy Chili 160g;Pringles Spicy Chili 160g;INGREDIËNTEN: Rijstbloem, plantaardige oliën (zonnebloem, palm, maïs) in wisselende verhoudingen, gedehydrateerde aardappelen, maïsmeel, maltodextrine, kruiderij met smaak van zoete chili (suiker, dextrose, smaakversterkers {mononatriumglutamaat, dinatrium-5'-ribonucleotiden}, specerijen {knoflook, ui, rode paprika’s, chilipeper, cayennepeper, komijn}, zout, aroma's, zuurteregelaar {natriumdiacetaat}, voedingszuren {citroenzuur, melkzuur}, tomatenpoeder, melassepoeder, koolzaadolie, kleurstof {paprika-extract}, weipermeaatpoeder {MELK}, oregano), emulgator (E471), gemodificeerd zetmeel, TARWEMEEL, zout.
"8;71891E+12";"1;09421E+12";TRUE;;;;Chiquita bananen 720 stuks;
"8;71891E+12";"1;09421E+12";TRUE;;;;Unox worst los;
"3;08368E+12";"3;01084E+12";TRUE;Gebroken sperzieboontjes fijn;groenteconserven;Gebroken sperzieboontjes fijn;Bonduelle groenteconserven Gebroken sperzieboontjes fijn 200g blik;Ingrediënten: Gebroken sperzieboontjes fijn, water, zout
"3;08368E+12";"3;01084E+12";TRUE;Witte bonen in tomatensaus;groenteconserven;Witte bonen in tomatensaus;Bonduelle groenteconserven Witte bonen in tomatensaus 200g blik;Ingrediënten: Witte bonen 49%, water,dubbelgeconcentreerde tomaten 7,1%, halfingekookte tomatenpuree 3,1%, suiker, rodewijnazijn, zout, alcoholazijn, natuurlijkearoma's, gistextract, natuurlijk aroma van uienmet andere natuurlijke aroma's.
"3;08368E+12";"3;01084E+12";TRUE;Groente mix op basis van erwten;groenteconserven;Mexico melange;Bonduelle groenteconserven Mexico melange 200g blik;Ingrediënten: Groenten (doperwtjes 38%, maïskorrels 25%, rode paprika 9%), water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Snijbonen;groenteconserven;Snijboontjes;Bonduelle groenteconserven Snijboontjes 200g blik;Ingrediënten: Snijbonen, water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Kapucijners;groenteconserven;Jonge kapucijners;Bonduelle groenteconserven Jonge kapucijners 200g blik;Ingrediënten: Kapucijners, water, suiker, zout, stabilisator: E385, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Rode bietjes in schijfjes;groenteconserven;Rode bietjes schijfjes;Bonduelle groenteconserven Rode bietjes schijfjes 200g blik;Ingrediënten: Rode bietjes 55%, water, alcoholazijn, suiker, gemodificeerd maïszetmeel, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Rode kool met appel;groenteconserven;Rode kool met appel;Bonduelle groenteconserven Rode kool met appel 200g blik;Ingrediënten: Rode kool 68%, water, suiker, appelcompote 6%, alcoholazijn, gemodificieerd maiszetmeel, zout, aroma´s (TARWE, SOJA), voedingszuur: citroenzuur.
"3;08368E+12";"3;01084E+12";TRUE;Witte bonen vacuüm met stoom bereid;groenteconserven;Cannellini bonen;Bonduelle groenteconserven Cannellini bonen 175g blik;Ingrediënten: Cannellini bonen, water, zout, verstevigingsmiddel: E509.
"3;08368E+12";"3;01084E+12";TRUE;Chilibonen in saus;groenteconserven;Chilibonen in saus;Bonduelle groenteconserven Chilibonen in saus 400g blik;Ingrediënten: Water, rode kidneybonen 45%, dubbel geconcentreerde tomatenpuree 3,7%, suiker, wijnazijn, aroma's (GLUTEN), DIJONMOSTERD (water, MOSTERDZAAD, alcoholazijn, zout), TARWEBLOEM, zonnebloemolie, geleermiddelen: Johannesbroodpitmeel, E508, E407, zout, glucose.
"3;08368E+12";"3;01084E+12";TRUE;Franse sperzieboontjes zeer fijn;groenteconserven;Franse sperzieboontjes zeer fijn gerangschikt;Bonduelle groenteconserven Franse sperzieboontjes zeer fijn gerangschikt 800g blik;Ingrediënten: Franse sperzieboontjes zeer fijn, water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Chilibonen in saus;groenteconserven;Chilibonen in saus;Bonduelle groenteconserven Chilibonen in saus 200g blik;Ingrediënten: Water, rode kidneybonen 45%, dubbel geconcentreerde tomatenpuree 3,7%, suiker, wijnazijn, aroma's (GLUTEN), DIJONMOSTERD (water, MOSTERDZAAD, alcoholazijn, zout), TARWEBLOEM, zonnebloemolie, geleermiddelen: johannesbroodpitmeel, E508, E407, zout, glucose.
"3;08368E+12";"3;01084E+12";TRUE;Franse sperzieboontjes zeer fijn;groenteconserven;Franse sperzieboontjes zeer fijn gerangschikt;Bonduelle groenteconserven Franse sperzieboontjes zeer fijn gerangschikt 400g blik;Ingrediënten: Franse sperzieboontjes zeer fijn, water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Groentemix;groenteconserven;Doperwtjes Festini;Bonduelle groenteconserven Doperwtjes Festini 200g blik;Ingrediënten: Groenten (doperwtjes 42%, maïskorrels 14%, worteltjes 14%), water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Haricots verts extra fijn;groenteconserven;Haricots verts extra fijn gerangschikt;Bonduelle groenteconserven Haricots verts gerangschikt extra fijn 400g blik;Ingrediënten: Haricots verts extra fijn, water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Groentenmelange;groenteconserven;Doperwtjes Festini;Bonduelle groenteconserven Doperwtjes Festini 400g blik;Ingrediënten: Groenten (doperwtjes 42%, maïskorrels 14%, worteltjes 14%), water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Groentemix op basis van erwten;groenteconserven;Mexico melange;Bonduelle groenteconserven Mexico melange 400g blik;Ingrediënten: Groenten (doperwtjes 38%, maïskorrels 25%, rode paprika 9%), water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Maïskorrels met stoom bereid;groenteconserven;Crispy Maïs;Bonduelle groenteconserven Crispy maïs 150g blik;Ingrediënten: Maïskorrels, water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Macédoine de légumes;groenteconserven;Macédoine de légumes;Bonduelle groenteconserven Macédoine de légumes 400g blik;Ingrediënten: Groentenmix (wortel, koolraap, sperzieboontjes, doperwtjes, groene kidneybonen), water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Macédoine de légumes;groenteconserven;Macédoine de légumes;Bonduelle groenteconserven Macédoine de légumes 200g blik;Ingrediënten: Groentenmix (wortel, koolraap, sperzieboontjes, doperwtjes, groene kidneybonen), water en zout.
"3;08368E+12";"3;01084E+12";TRUE;Linzen vacuüm met stoom bereid;groenteconserven;Linzen;Bonduelle groenteconserven Linzen 310g blik;Ingrediënten: Linzen, water, zout, antioxidant: ascorbinezuur, verstevigingsmiddel: E509, natuurlijk aroma (SELDERIJ). Kan TARWE bevatten.
"3;08368E+12";"3;01084E+12";TRUE;Groentemelange vacüum met stoom bereid op basis van maïs;groenteconserven;Maïs Salsa;Bonduelle groenteconserven Maïs Salsa 300g blik;Ingrediënten: Groenten (maïskorrels 68%, rode paprika 13%, rode kidneybonen 7%), water, zout, antioxidant: ascorbinezuur, verstevigingsmiddel: E385.
"3;08368E+12";"3;01084E+12";TRUE;Groentenmelange vacuüm op basis van maïs;groenteconserven;Maïs Fiësta;Bonduelle groenteconserven Maïs Fiësta 300g blik;Ingrediënten: Groenten: (maïskorrels 71%, rode paprika 10%, gesneden fijne sperzieboontjes 5,5%), water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Broccoliroosjes. diepgevroren;diepvriesgroenten;Broccoliroosjes;Bonduelle dieprvriesgroenten Broccoliroosjes 300g stazak;Ingrediënten: Broccoli. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;Bloemkoolroosjes. diepgevroren;diepvriesgroenten;Bloemkoolroosjes;Bonduelle diepvriesgroenten Bloemkoolroosjes 400g stazak;Ingrediënten: Bloemkool. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;JONGE VELDERWTJES EN WORTELTJES. diepgevroren;diepvriesgroenten;Erwtjes en worteltjes;Bonduelle diepvriesgroenten Erwtjes en worteltjes 400g stazak;Ingrediënten: Jonge velderwtjes en worteltjes in variabele proportie. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;Spruitjes. diepgevroren;diepvriesgroenten;Spruitjes;Bonduelle diepvriesgroenten Spruitjes 400g stazak;Ingrediënten: Spruitjes. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;Jonge velderwtjes. diepgevroren;diepvriesgroenten;;Bonduelle diepvriesgroenten Jonge velderwtjes 400g stazak;Ingrediënten: Jonge velderwtjes. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;TUINERWTJES EXTRA FIJN. diepgevroren.;diepvriesgroenten;Tuinerwtjes;Bonduelle diepvriesgroenten Tuinerwtjes 400g stazak;Ingrediënten: Tuinerwtjes. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;Sperzieboontjes. diepgevroren;diepvriesgroenten;Franse sperzieboontjes zeer fijn;Bonduelle diepvriesgroenten Franse sperzieboontjes zeer fijn 400g stazak;Ingrediënten: Sperzieboontjes. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;Haricots verts extra fijn. diepgevroren;diepvriesgroenten;;Bonduelle diepvriesgroenten Haricots verts extra fijn 300g stazak;Ingrediënten: Haricots verts extra fijn. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;GROENTENMIX. diepgevroren.;diepvriesgroenten;;Bonduelle diepvriesgroenten Mexico melange 400g stazak;Ingrediënten: Erwtjes, maïskorrels, rode paprika. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;Crispy maïs bio met stoom bereid;groenteconserven;Crispy Maïs Bio;Bonduelle groenteconserven Crispy Maïs bio 300g blik;Ingrediënten: Maïskorrels*, water, zout. *Producten uit de biologische landbouw.
"3;08368E+12";"3;01084E+12";TRUE;Crispy maïs bio met stoom bereid;groenteconserven;Crispy Maïs Bio;Bonduelle groenteconserven Crispy maïs bio 150g blik;Ingrediënten: Maïskorrels*, water, zout. *Producten uit de biologische landbouw.
"3;08368E+12";"3;01084E+12";TRUE;Witte bonen vacuüm met stoom bereid;groenteconserven;Cannellini bonen;Bonduelle groenteconserven Cannellini bonen 310g blik;Ingrediënten: Cannellini bonen, water, zout, verstevigingsmiddel: E509.
"3;08368E+12";"3;01084E+12";TRUE;Kikkererwten vacuüm met stoom bereid;groenteconserven;Kikkererwten;Bonduelle groenteconserven Kikkererwten 310g blik;Ingrediënten: Kikkererwten, water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Zwarte bonen;groenteconserven;Zwarte bonen;Bonduelle groenteconserven Zwarte bonen 400g blik;Ingrediënten: water, zwarte bonen, zout, aroma.
"3;08368E+12";"3;01084E+12";TRUE;RATATOUILLE BEREID OP PROVENÇAALSE WIJZE MET EXTRA VIERGE OLIJFOLIE 2%;Groenteconserven;;Bonduelle Ratatouille à la Provençale 375 g Blik;Ingrediënten: Stukjes voorgebakken aubergine 25% (aubergines 22%, zonnebloemolie), stukjes courgette 25%, half gereduceerde tomatenpuree 20%, stukjes ui 13%, stukjes rode paprika 8%, dubbel geconcentreerde tomaten 3%, extra vierge olijfolie 2%, suiker 1,3%, zout, knoflook, geconcentreerd citroensap, TARWEbloem, tijm 0,1%.
"3;08368E+12";"3;01084E+12";TRUE;Doperwtjes zeer fijn vacuüm;groenteconserven;Doperwtjes zeer fijn;Bonduelle groenteconserven Doperwtjes zeer fijn 160g blik;Ingrediënten: Doperwtjes zeer fijn, water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Worteltjes extra fijn vacuüm met stoom bereid;groenteconserven;Worteltjes extra fijn;Bonduelle groenteconserven Worteltjes extra fijn 155g blik;Ingrediënten: Worteltjes, water, zout, antioxidant: ascorbinezuur.
"3;08368E+12";"3;01084E+12";TRUE;Tuinboontjes vacuüm met stoom bereid;groenteconserven;Tuinboontjes;Bonduelle groenteconserven Tuinboontjes 155g blik;Ingrediënten: Tuinbonen, water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Rode kidneybonen vacuüm met stoom bereid;groenteconserven;Rode kidneybonen;Bonduelle groenteconserven Rode kidneybonen 160g blik;Ingrediënten: Rode kidneybonen, water, zout, verstevigingsmiddel: E509.
"3;08368E+12";"3;01084E+12";TRUE;Rode kidneybonen met stoom bereid;groenteconserven;Rode kidneybonen;Bonduelle groenteconserven Rode kidneybonen 310g blik;Ingrediënten: Rode kidneybonen, water, zout, verstevigingsmiddel: E509.
"3;08368E+12";"3;01084E+12";TRUE;Reuzenbonen vacuum met stoom bereid;groenteconserven;Reuzenbonen;Bonduelle groenteconserven Reuzenbonen 255g blik;Ingrediënten: Witte reuzenbonen, water, zout, antioxidant: ascorbinezuur.
"3;08368E+12";"3;01084E+12";TRUE;Linzen vacuüm met stoom bereid;groenteconserven;Linzen;Bonduelle groenteconserven Linzen 160g blik;Ingrediënten: Linzen, water, zout, antioxidant: ascorbinezuur, verstevigingsmiddel: E509, natuurlijk aroma (SELDERIJ). Kan TARWE bevatten.
"3;08368E+12";"3;01084E+12";TRUE;Kikkererwten vacuüm met stoom bereid;groenteconserven;Kikkererwten;Bonduelle groenteconserven Kikkererwten 150g blik;Ingrediënten: Kikkererwten, water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Jonge velderwtjes vacuüm met stoom bereid;groenteconserven;Jonge velderwtjes;Bonduelle groenteconserven Jonge velderwtjes 150g blik;Ingrediënten: Velderwtjes, water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Doperwtjes extra fijn vacuüm met stoom bereid;groenteconserven;Doperwtjes extra fijn;Bonduelle groenteconserven Doperwtjes extra fijn 320g blik;Ingrediënten: Doperwtjes extra fijn, water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Doperwtjes & worteltjes zeer fijn vacuüm met stoom bereid;groenteconserven;Doperwtjes & worteltjes zeer fijn;Bonduelle groenteconserven Doperwtjes & worteljes zeer fijn 150g blik;Ingrediënten: Groenten in variabele proporties (doperwtjes zeer fijn, worteltjes), water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Doperwtjes & worteltjes zeer fijn vacuüm met stoombereid;groenteconserven;Doperwtjes & worteltjes zeer fijn;Bonduelle groenteconserven Doperwtjes & worteltjes zeer fijn 305g blik;Ingrediënten: Groenten in variabele proporties (doperwtjes zeer fijn, worteltjes), water, zout, natuurlijk aroma.
"3;08368E+12";"3;01084E+12";TRUE;Maïskorrels met stoom bereid;groenteconserven;Crispy Maïs;Bonduelle groenteconserven Crispy Maïs 300g blik;Ingrediënten: Maïskorrels, water, zout.
"3;08368E+12";"3;01084E+12";TRUE;Zwarte bonen;groenteconserven;Zwarte bonen;Bonduelle groenteconserven Zwarte bonen 200g blik;Ingrediënten: Water, zwarte bonen, zout, aroma
"3;08368E+12";"3;01084E+12";TRUE;Sugar snaps. diepgevroren;diepvriesgroenten;Sugar Snaps;Bonduelle Pure diepvriesgroenten Sugar snaps 300g stazak;Ingrediënten: Sugar snaps. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;GEGRILDE GROENTENMENGELING. diepgevroren.;diepvriesgroenten;Gegrilde Mix aubergine courgette & rode paprika;Bonduelle diepvriesgroenten Gegrilde Mix aubergine courgette & rode paprika 400g stazak;Ingrediënten: Gegrilde groenten in variabele proportie: courgettes, rode paprika, aubergines. Kan SELDERIJ bevatten.
"3;08368E+12";"3;01084E+12";TRUE;Rode kidneybonen bio vacuüm met stoom bereid;groenteconserven;Rode kidneybonen Bio;Bonduelle groenteconserven Rode kidneybonen bio 310g blik;Ingrediënten: Rode kidneybonen (niet EU landbouw)*, water, zout. *Producten uit de biologische landbouw.
"3;08368E+12";"3;01084E+12";TRUE;Kikkererwten bio vacuüm met stoom bereid;groenteconserven;Kikkererwten Bio;Bonduelle groenteconserven Kikkererwten bio 310g blik;Ingrediënten: Kikkererwten (EU landbouw)*, water, zout. *Producten uit de biologische landbouw.
"3;08368E+12";"3;01084E+12";TRUE;Mix van maïskorrels. rode kidneybonen. lima bonen en black eyed bonen met stoom bereid;groenteconserven;Bonenmix Crispy maïs. rode kidney. lima & black eyed bonen;Bonduelle groenteconserven Bonenmix Crispy maïs. rode kidney. lima & black eyed bonen 160g blik;Ingrediënten: Water, maiskorrels 27%, rode kidneybonen 22% , lima bonen 11%, black eyed bonen 7%, zout, antioxidant: ascorbinezuur, verstevigingsmiddel: E509.
"3;08368E+12";"3;01084E+12";TRUE;Edamame bonen met stoom bereid;groenteconserven;Edamame bonen;Bonduelle groenteconserven Edamame bonen 155g blik;Ingrediënten: EDAMAME (SOJA) bonen, water, zout, verstevigingsmiddel: E509.
"3;08368E+12";"3;01084E+12";TRUE;Rode kidneybonen vacuüm met stoom bereid;groenteconserven;Rode kidneybonen 2 Mini's;Bonduelle groenteconserven Rode kidneybonen 2 Mini's 160g huls;Ingrediënten: rode kidneybonen, water, zout, verstevigingsmiddel: E509.
